study_ID,long_cite,short_cite,doi,peer_reviewed,original_ma,coder,2nd coder,3rd coder,expt_num,expt_condition,stimulus_set,lab,main_question_IDS_preference,trial_control,response_mode,exposure_phase,method,dependent_measure,human_coded,participant_design,same_infant,native_lang,test_lang,infant_type,group_name_1,group_name_2,n_1,n_2,mean_age_1,mean_age_2,x_1,x_2,SD_1,SD_2,data_from_figure,t,F,d,d_var,r,corr,effect_significance_reported,age_range_1,age_range_2,n_excluded_1,n_excluded_2,fussers,non_criterion,criterion,criterion_definition,exclusionCriteria,gender_1,gender_2,num_trials,num_minimum_trials,mean_vocab,speaker_fam,speaker_experience,speaker_female,speaker,presentation,setting,speech_type,Coder 1 Comments,Coder 2 Comments,
McCartney1997,"McCartney, J. (1997). Four-month-olds do not prefer but can discriminate infant directed and adult directed speech contours. (Unpublished master's thesis). Virginia Polytechnic Institute and State University, Blacksburg, VA. ",McCartney (1997),NA,no,no,Lucy Anderson,Martin Zettersten,Alexis Black,1,IDS_ADS,Cooper & Aslin (1990),Cooper,yes,infant_controlled,eye-tracking,familiarization,CF,looking_time,yes,within_two,IDS,American English,native,typical,NA,NA,24,NA,131.4,NA,8.52,9,3.64,3.07,no,NA,NA,NA,NA,NA,NA,,NA,NA,5,NA,5,NA,NA,NA,excessive crying or fussiness_5,0.58,NA,12,10,NA,0,1,1,Unfamiliar mother,Tape recording,Laboratory,simulated,Double-check that I used the right statistics. I ignored the fact that they did a pre-trial for some and not for others becasue it had no impact on the IDS v ADS data. But I left the exposure_phase column blank. ,"ADS vs. IDS is within-subjects, hence one row; removed t-value since this was for a IDS-first, ADS-first comparison; since we know that the Cooper & Aslin stimulus set is from a mother, I updated the speaker column to unfamiliar mother; human_coded should be yes",
McFayden2020,"McFayden, T.C., Panneton, R.K., Bruce, M., & Taylor, C. (2020). Exploring priming effects of social and non-social attention getters on older infants' preferences for infant-directed speech. Infant Behavior and Development, 59, 1-10. ",McFayden et al. (2020),10.1016/j.infbeh.2020.101431,yes,no,Lucy Anderson,Martin Zettersten,Alexis Black,1,social ,ManyBabies,Panneton,no,infant_controlled,eye-tracking,test_only,CF,looking_time,yes,within_two,social,American English,native,typical,NA,NA,10,NA,441.38,NA,8.79,5.99,4.39,4.45,yes,NA,NA,NA,NA,NA,NA,,NA,NA,2.5,NA,1.5,NA,NA,NA,fussiness_1.5|premature_0.5|developmental delay_0.5,0.6,NA,16,NA,NA,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Simulated,"The t for IDS vs. ADS is the number for the first block, but the article also includes a t for the second block; I wasn't sure which to include. ","reduced to two rows, one for each between-subjects condition; corrected participant_design to within_two; extracted relevant means from Figure 2 with WebPlotDigitizer (and comparing to overall means reported in the paper, they roughly make sense); corrected speaker columns; unified exclusion coding",
McFayden2020,"McFayden, T.C., Panneton, R.K., Bruce, M., & Taylor, C. (2020). Exploring priming effects of social and non-social attention getters on older infants' preferences for infant-directed speech. Infant Behavior and Development, 59, 1-10. ",McFayden et al. (2020),10.1016/j.infbeh.2020.101431,yes,no,Lucy Anderson,Martin Zettersten,Alexis Black,1,nonsocial,ManyBabies,Panneton,no,infant_controlled,eye-tracking,test_only,CF,looking_time,yes,within_two,nonsocial,American English,native,typical,NA,NA,10,NA,441.38,NA,8.57,5.97,4.23,4.13,yes,NA,NA,NA,NA,NA,NA,,NA,NA,2.5,NA,1.5,NA,NA,NA,fussiness_1.5|premature_0.5|developmental delay_0.5,0.7,NA,16,NA,NA,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Simulated,"The t for IDS vs. ADS is the number for the first block, but the article also includes a t for the second block; I wasn't sure which to include. ","reduced to two rows, one for each between-subjects condition; corrected participant_design to within_two; extracted relevant means from Figure 2 with WebPlotDigitizer (and comparing to overall means reported in the paper, they roughly make sense); corrected speaker columns; unified exclusion coding",
Wang2017,"Wang, Y., Bergeson, T.R., & Houston, D.M. (2017). Infant-directed speech enhances attention to speech in deaf infants with cochlear implants. Journal of Speech, Language, and Hearing Research, 60(11), 3321-3333. ",Wang et al. (2017),10.1044/2017_JSLHR-H-17-0149,yes,no,Lucy Anderson,Martin Zettersten,,1,CI_IDS_vs_ADS,Wang et al. (2017),Houston,yes,infant_controlled,eye-tracking,test_only,CF,looking_time,yes,within_two,CI,American English,native,deaf/ CI,NA,NA,12,NA,829,NA,6.83,3.78,4.09,2.77,NA,NA,NA,NA,NA,NA,NA,,341,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,8,NA,NA,0,0,1,Unfamiliar female,Tape recording,Laboratory,Simulated,"Want to make sure I have exptcond, group name, and avg and SD listed correctly","corrected SDs; participant design is within-subjects; chronological age might not meet criteria, since infants are older than 2 years of age; speaker was miscoded (should be speaker_fam=0 and speaker_female=1; speaker experience is unclear from the text); stimuli might be the same as Wang2018; something is confusing or wrong with the t-values reported (incorrect dfs, unclear whether different tests correspond to different groups)",
Wang2017,"Wang, Y., Bergeson, T.R., & Houston, D.M. (2017). Infant-directed speech enhances attention to speech in deaf infants with cochlear implants. Journal of Speech, Language, and Hearing Research, 60(11), 3321-3333. ",Wang et al. (2017),10.1044/2017_JSLHR-H-17-0149,yes,no,Lucy Anderson,Martin Zettersten,,1,NH-HEM_IDS_vs_ADS,Wang et al. (2017),Houston,yes,infant_controlled,eye-tracking,test_only,CF,looking_time,yes,within_two,NH-HEM,American English,native,typical,NA,NA,22,NA,356,NA,7.27,5.28,4.76,3.98,NA,NA,NA,NA,NA,NA,NA,,100,NA,NA,NA,NA,NA,NA,NA,NA,0.55,NA,8,NA,NA,0,0,1,Unfamiliar female,Tape recording,Laboratory,Simulated,"Want to make sure I have exptcond, group name, and avg and SD listed correctly","participant design is within-subjects; speaker was miscoded (should be speaker_fam=0 and speaker_female=1; speaker experience is unclear from the text); stimuli might be the same as Wang2018; something is confusing or wrong with the t-values reported (incorrect dfs, unclear whether different tests correspond to different groups)",
Wang2017,"Wang, Y., Bergeson, T.R., & Houston, D.M. (2017). Infant-directed speech enhances attention to speech in deaf infants with cochlear implants. Journal of Speech, Language, and Hearing Research, 60(11), 3321-3333. ",Wang et al. (2017),10.1044/2017_JSLHR-H-17-0149,yes,no,Lucy Anderson,Martin Zettersten,,1,NH-CAM_IDS_vs_ADS,Wang et al. (2017),Houston,yes,infant_controlled,eye-tracking,test_only,CF,looking_time,yes,within_two,NH-CAM,American English,native,typical,NA,NA,12,NA,839,NA,7.15,7.26,3.98,5.37,NA,-1.12,NA,NA,NA,NA,NA,,480,NA,NA,NA,NA,NA,NA,NA,NA,0.42,NA,8,NA,NA,0,0,1,Unfamiliar female,Tape recording,Laboratory,Simulated,"Want to make sure I have exptcond, group name, and avg and SD listed correctly","participant design is within-subjects; chronological age might not meet criteria, since infants are older than 2 years of age; speaker was miscoded (should be speaker_fam=0 and speaker_female=1; speaker experience is unclear from the text); stimuli might be the same as Wang2018",
Wang2017,"Wang, Y., Bergeson, T.R., & Houston, D.M. (2017). Infant-directed speech enhances attention to speech in deaf infants with cochlear implants. Journal of Speech, Language, and Hearing Research, 60(11), 3321-3333. ",Wang et al. (2017),10.1044/2017_JSLHR-H-17-0149,yes,no,Lucy Anderson,Martin Zettersten,,1,CI_IDS_silence_vs_ADS_silence,Wang et al. (2017),Houston,yes,infant_controlled,eye-tracking,test_only,CF,looking_time,yes,within_two,CI,American English,native,deaf/ CI,NA,NA,12,NA,829,NA,8.85,6.05,4.79,3.61,NA,NA,NA,NA,NA,NA,NA,,341,NA,NA,NA,NA,NA,NA,NA,NA,0.25,NA,4,NA,NA,0,0,1,Unfamiliar female,Tape recording,Laboratory,Simulated,,added this row since IDS/ ADS preference were evaluated in the same context (silence)/design,
Wang2017,"Wang, Y., Bergeson, T.R., & Houston, D.M. (2017). Infant-directed speech enhances attention to speech in deaf infants with cochlear implants. Journal of Speech, Language, and Hearing Research, 60(11), 3321-3333. ",Wang et al. (2017),10.1044/2017_JSLHR-H-17-0149,yes,no,Lucy Anderson,Martin Zettersten,,1,NH-HEM_IDS_silence_vs_ADS_silence,Wang et al. (2017),Houston,yes,infant_controlled,eye-tracking,test_only,CF,looking_time,yes,within_two,NH-HEM,American English,native,typical,NA,NA,22,NA,356,NA,7.69,6.12,4.67,2.42,NA,NA,NA,NA,NA,NA,NA,,100,NA,NA,NA,NA,NA,NA,NA,NA,0.55,NA,4,NA,NA,0,0,1,Unfamiliar female,Tape recording,Laboratory,Simulated,,added this row since IDS/ ADS preference were evaluated in the same context (silence)/design,
Wang2017,"Wang, Y., Bergeson, T.R., & Houston, D.M. (2017). Infant-directed speech enhances attention to speech in deaf infants with cochlear implants. Journal of Speech, Language, and Hearing Research, 60(11), 3321-3333. ",Wang et al. (2017),10.1044/2017_JSLHR-H-17-0149,yes,no,Lucy Anderson,Martin Zettersten,,1,NH-CAM_IDS_silence_vs_ADS_silence,Wang et al. (2017),Houston,yes,infant_controlled,eye-tracking,test_only,CF,looking_time,yes,within_two,NH-CAM,American English,native,typical,NA,NA,12,NA,839,NA,11.61,8.46,5.52,4.57,NA,NA,NA,NA,NA,NA,NA,,480,NA,NA,NA,NA,NA,NA,NA,NA,0.42,NA,4,NA,NA,0,0,1,Unfamiliar female,Tape recording,Laboratory,Simulated,,added this row since IDS/ ADS preference were evaluated in the same context (silence)/design,
Corbeil2016,"Corbeil, M., Trehub, S. E., & Peretz, I. (2016). Singing delays the onset of infant distress. Infancy, 21(3), 373-391.",Corbeil et al. (2016),10.1111/infa.12114,yes,no,Sarah Kamhout,Christina Bergmann,MMG,1,IDS_ADS,Corbeil et al. (2013),Trehub,yes,infant_controlled,behavior,test_only,CF,facial_expression,yes,between,,"Canadian French, Italian, Canadian English",nonnative,typical,IDS,ADS,10,10,258.74,258.74,4.2,3.91,3.42,2.14,no,,,,,,,,85.232,85.232,1.666666667,1.666666667,0,0,NA,NA,unwillingness to sit in high chair_2|computer failure_2|experimenter error_1,0.533,0.533,1,,,0,0,1,Unfamiliar female,Tape Recording,Laboratory,Simulated,"Multiple infant native languages (French, Italian, English); repeated same sound clip until distress; 30 total, assume 10 per group (one group not included bc singing); don't report age by group; guesstimated num_trials based on 25 sec stimuli looping for an average of 43.62 sec average stimulus duration",,ignoring exp 2 bc no ADS; tyfant_type = infnats are typical but not necss monolingual
Kim2014,"Kim, H. I., & Johnson, S. P. (2014). Detecting ‘infant‐directedness' in face and voice. Developmental Science, 17(4), 621-627.",Kim & Johnson (2014),10.1111/desc.12146,yes,no,Sarah Kamhout,Christina Bergmann/ Martin Zettersten,RAL,1,5mos_ID_face,Kim & Johnson (2014),Johnson,no,fixed_length,eye-tracking,test_only,CF,looking_time,no,within_two,1,American English,native,typical,NA,NA,42,NA,157.3748,,27.9,24.33,9.27,8.94,yes,NA,NA,,,,,,,,,14,9,,,completed less than 6 trials,fussiness_9|equipment failure_5,0.5,,12,6,,0,1,1,Unfamiliar mother,Video recording,Laboratory,Naturalistic,,updated values using WebPlotDigitizer on Fig 3,no additional comments
Kim2014,"Kim, H. I., & Johnson, S. P. (2014). Detecting ‘infant‐directedness' in face and voice. Developmental Science, 17(4), 621-627.",Kim & Johnson (2014),10.1111/desc.12146,yes,no,Sarah Kamhout,Christina Bergmann/ Martin Zettersten,RAL,1,5mos_AD_face,Kim & Johnson (2014),Johnson,no,fixed_length,eye-tracking,test_only,CF,looking_time,no,within_two,1,American English,native,typical,NA,NA,42,NA,157.3748,,20.34,21.36,7.95,8.61,yes,NA,NA,,,,,,,,,14,9,,,completed less than 6 trials,fussiness_9|equipment failure_5,0.5,,12,6,,0,1,1,Unfamiliar mother,Video recording,Laboratory,Naturalistic,,updated values using WebPlotDigitizer on Fig 3,no additional comments
Kim2014,"Kim, H. I., & Johnson, S. P. (2014). Detecting ‘infant‐directedness' in face and voice. Developmental Science, 17(4), 621-627.",Kim & Johnson (2014),10.1111/desc.12146,yes,no,Sarah Kamhout,Christina Bergmann/ Martin Zettersten,RAL,1,3mos_ID_face,Kim & Johnson (2014),Johnson,no,fixed_length,eye-tracking,test_only,CF,looking_time,no,within_two,2,American English,native,typical,NA,NA,33,NA,94.67,,27.89,24.35,8.46,7.9,yes,NA,NA,,,,,,,,,12,7,,,completed less than 6 trials,fussiness_7|equipment failure_5,0.48,,12,6,,0,1,1,Unfamiliar mother,Video recording,Laboratory,Naturalistic,,MZ: condition coding of mean appears to have been flipped accidentally here; corrected using WebPlotDigitizer on Fig 4 ,no additional comments
Kim2014,"Kim, H. I., & Johnson, S. P. (2014). Detecting ‘infant‐directedness' in face and voice. Developmental Science, 17(4), 621-627.",Kim & Johnson (2014),10.1111/desc.12146,yes,no,Sarah Kamhout,Christina Bergmann/ Martin Zettersten,RAL,1,3mos_AD_face,Kim & Johnson (2014),Johnson,no,fixed_length,eye-tracking,test_only,CF,looking_time,no,within_two,2,American English,native,typical,NA,NA,33,NA,94.67,,20.33,18.66,7.33,6.77,yes,NA,NA,,,,,,,,,12,7,,,completed less than 6 trials,fussiness_7|equipment failure_5,0.48,,12,6,,0,1,1,Unfamiliar mother,Video recording,Laboratory,Naturalistic,,MZ: condition coding of mean appears to have been flipped accidentally here; corrected using WebPlotDigitizer on Fig 4 ,no additional comments
Outters2020,"Outters, V., Schreiner, M. S., Behne, T., & Mani, N. (2020). Maternal input and infants’ response to infant‐directed speech. Infancy, 25(4), 478-499.",Outters et al. (2020),10.1111/infa.12334 ,yes,no,Sarah Kamhout,Martin Zettersten,RAL,2,6mos_Listening_Preference_IDS_first,,,yes,infant_controlled,eye-tracking,test_only,CF,looking_time,yes,within_two,6mos_Listening_Preference_IDS_first,German,native,typical,,,19,NA,195.64,,,,,,no,4.48,NA,NA,NA,NA,NA,,54.88,,20,,9.5,,,infants needed to provide data for at least one trial in each condition in the first three trials of the experiment.,illness_4|fussiness_9.5|experimental error_1.5|data loss_5,0.45,,6,3,,0,0,1,Unfamiliar female,Tape recording,Laboratory,Simulated,"Mean age not given. Calculated from upper and lower given range divided by 2. Exclusions not given per age group, only total participants, so divided total by 2. ",,n_1 = there were 42 6-mo-old infants and half did IDS first and half did ADS first (19 > 21?); trials were excluded if infant did not fixate for 500 ms during speech presentation; num_minimum = 3
Outters2020,"Outters, V., Schreiner, M. S., Behne, T., & Mani, N. (2020). Maternal input and infants’ response to infant‐directed speech. Infancy, 25(4), 478-499.",Outters et al. (2020),10.1111/infa.12334 ,yes,no,Sarah Kamhout,Martin Zettersten,RAL,2,6mos_Listening_Preference_ADS_first,,,yes,infant_controlled,eye-tracking,test_only,CF,looking_time,yes,within_two,6mos_Listening_Preference_ADS_first,German,native,typical,,,19,NA,195.64,,,,,,no,-1.06,NA,NA,NA,NA,NA,,54.88,,20,,9.5,,,infants needed to provide data for at least one trial in each condition in the first three trials of the experiment.,illness_4|fussiness_9.5|experimental error_1.5|data loss_5,0.45,,6,3,,0,0,1,Unfamiliar female,Tape recording,Laboratory,Simulated,"Mean age not given. Calculated from upper and lower given range divided by 2. Exclusions not given per age group, only total participants, so divided total by 2. ",,n_1 = there were 42 6-mo-old infants and half did IDS first and half did ADS first (19 > 21?); trials were excluded if infant did not fixate for 500 ms during speech presentation; num_minimum = 3
Outters2020,"Outters, V., Schreiner, M. S., Behne, T., & Mani, N. (2020). Maternal input and infants’ response to infant‐directed speech. Infancy, 25(4), 478-499.",Outters et al. (2020),10.1111/infa.12334 ,yes,no,Sarah Kamhout,Martin Zettersten,RAL,2,13mos_Listening_Preference_IDS_first,,,yes,infant_controlled,eye-tracking,test_only,CF,looking_time,yes,within_two,13mos_Listening_Preference_IDS_first,German,native,typical,,,18,NA,409.22,,,,,,no,3.39,NA,NA,NA,NA,NA,,57.88,,20,,9.5,,,infants needed to provide data for at least one trial in each condition in the first three trials of the experiment.,illness_4|fussiness_9.5|experimental error_1.5|data loss_5,0.487,,6,3,,0,0,1,Unfamiliar female,Tape recording,Laboratory,Simulated,"Mean age not given. Calculated from upper and lower given range divided by 2. Exclusions not given per age group, only total participants, so divided total by 2. ",,n_1 = there were 39 13-mo-olds (chg ea cell to 19.5?) and half did IDS first and half did ADS first; trials were excluded if infant did not fixate for 500 ms during speech presentation; num_minimum = 3
Outters2020,"Outters, V., Schreiner, M. S., Behne, T., & Mani, N. (2020). Maternal input and infants’ response to infant‐directed speech. Infancy, 25(4), 478-499.",Outters et al. (2020),10.1111/infa.12334 ,yes,no,Sarah Kamhout,Martin Zettersten,RAL,2,13mos_Listening_Preference_ADS_first,,,yes,infant_controlled,eye-tracking,test_only,CF,looking_time,yes,within_two,13mos_Listening_Preference_ADS_first,German,native,typical,,,17,NA,409.22,,,,,,no,-3.82,NA,NA,NA,NA,NA,,57.88,,20,,9.5,,,infants needed to provide data for at least one trial in each condition in the first three trials of the experiment.,illness_4|fussiness_9.5|experimental error_1.5|data loss_5,0.487,,6,3,,0,0,1,Unfamiliar female,Tape recording,Laboratory,Simulated,"Mean age not given. Calculated from upper and lower given range divided by 2. Exclusions not given per age group, only total participants, so divided total by 2. ",,n_1 = there were 39 13-mo-olds (chg ea cell to 19.5?) and half did IDS first and half did ADS first; trials were excluded if infant did not fixate for 500 ms during speech presentation; num_minimum = 3
Jusczyk1992,"Jusczyk, P. W., Hirsh-Pasek, K., Nelson, D. G. K., Kennedy, L. J., Woodward, A., Piwoz, J. (1992). Perception of Acoustic Correlates of Major Phrasal Units by Young Infants. Cognitive Psychology, 24 (2), 252-293. ",Jusczyk et al. (1992),10.1016/0010-0285(92)90009-Q,yes,no,Stephen Gilliat,Christina Bergmann/ Martin Zettersten,MMG,4,IDS_coincidence_diff_vs_ADS_coincidence_diff,Jusczyk (1992),,no,infant_controlled,behavior,familiarization,HPP,looking_time,yes,between,NA,American English,native,typical,IDS,ADS,24,24,283.09,283.09,NA,NA,NA,NA,no,1.93,NA,NA,NA,NA,NA,,45.66,45.66,15,15,NA,18,3,failure to look to one of the two sides for at least three test trials,failure to look to one of the two sides for at least three test trials_18|crying_11|experimenter error_1,,,12,,NA,0,1,1,Unfamiliar mother,Tape recording,Laboratory,Naturalistic,These were all from Experiment 4. ,"Made a bunch of corrections on 2021-03-21; MZ: confirmed 4/1/2021; decision here is to use the t-statistic where an overall comparison is made between the IDS and ADS groups (DV is difference in overall looking time between the two within-subjects conditions, coincident vs. non-coincident); speaker is implied to have experience, be a mother (though this is not entirely explicit); marked fussers as NA because no infants were explicitly described as being excluded for ""fussiness""; split n_excluded across the two groups evenly; added the ""failure to look to one of the two sides"" criterion explicitly; my understanding is that there is actually a familiarization to the stimuli prior to the test (see description of Exp 1) - coded exposure_phase accordingly",
